V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
ENA	HBWO01000260.1	483	NA	NA	NA	NA
ENA	HBWO01000260.1	403	NA	NA	NA	NA
ENA	HBWO01000260.1	400	NA	NA	NA	NA
ENA	HBWO01000260.1	347	NA	NA	NA	NA
ENA	HBWO01000260.1	568	NA	NA	NA	NA
ENA	HBWO01000260.1	487	NA	NA	NA	NA
ENA	HBWO01000260.1	595	NA	NA	NA	NA
ENA	HBWO01000260.1	543	NA	NA	NA	NA
ENA	HBWO01000260.1	540	NA	NA	NA	NA
ENA	HBWO01000260.1	459	NA	NA	NA	NA
ENA	HBWO01000260.1	652	NA	NA	NA	NA
ENA	HBWO01000260.1	571	NA	NA	NA	NA
ENA	HBWO01000260.1	335	NA	NA	NA	NA
ENA	HBWO01000260.1	363	NA	NA	NA	NA
ENA	HBWO01000260.1	455	NA	NA	NA	NA
ENA	HBWO01000260.1	680	NA	NA	NA	NA
ENA	HBWO01000260.1	599	NA	NA	NA	NA
ENA	HBWO01000260.1	325	NA	NA	NA	NA
ENA	HBWO01000262.1	147	NA	NA	NA	NA
ENA	HBWO01000263.1	23	NA	NA	NA	NA
ENA	HBWO01000265.1	10	NA	NA	NA	NA
ENA	HBWO01000265.1	282	NA	NA	NA	NA
ENA	HBWO01000266.1	10	NA	NA	NA	NA
ENA	HBWO01000266.1	282	NA	NA	NA	NA
ENA	HBWO01000306.1	44	NA	NA	NA	NA
ENA	HBWO01000307.1	142	NA	NA	NA	NA
ENA	HBWO01000330.1	479	NA	NA	NA	NA
ENA	HBWO01000331.1	479	NA	NA	NA	NA
ENA	HBWO01000332.1	479	NA	NA	NA	NA
ENA	HBWO01000340.1	14	NA	NA	NA	NA
ENA	HBWO01000341.1	56	NA	NA	NA	NA
ENA	HBWO01000342.1	56	NA	NA	NA	NA
ENA	HBWO01000343.1	14	NA	NA	NA	NA
ENA	HBWO01000345.1	56	NA	NA	NA	NA
ENA	HBWO01000363.1	55	NA	NA	NA	NA
ENA	HBWO01000380.1	151	NA	NA	NA	NA
ENA	HBWO01000388.1	1	NA	NA	NA	NA
ENA	HBWO01000389.1	139	NA	NA	NA	NA
ENA	HBWO01000390.1	1	NA	NA	NA	NA
ENA	HBWO01000391.1	139	NA	NA	NA	NA
ENA	HBWO01000422.1	172	NA	NA	NA	NA
ENA	HBWO01000429.1	3	NA	NA	NA	NA
ENA	HBWO01000437.1	19	NA	NA	NA	NA
ENA	HBWO01000440.1	8	NA	NA	NA	NA
ENA	HBWO01000441.1	8	NA	NA	NA	NA
ENA	HBWO01000441.1	81	NA	NA	NA	NA
ENA	HBWO01000447.1	45	NA	NA	NA	NA
ENA	HBWO01000456.1	1	NA	NA	NA	NA
ENA	HBWO01000457.1	1	NA	NA	NA	NA
ENA	HBWO01000514.1	309	NA	NA	NA	NA
ENA	HBWO01000515.1	391	NA	NA	NA	NA
ENA	HBWO01000539.1	3	NA	NA	NA	NA
ENA	HBWO01000545.1	100	NA	NA	NA	NA
ENA	HBWO01000546.1	100	NA	NA	NA	NA
ENA	HBWO01000547.1	100	NA	NA	NA	NA
ENA	HBWO01000548.1	100	NA	NA	NA	NA
ENA	HBWO01000549.1	100	NA	NA	NA	NA
ENA	HBWO01000550.1	100	NA	NA	NA	NA
ENA	HBWO01000558.1	3	NA	NA	NA	NA
ENA	HBWO01000562.1	3	NA	NA	NA	NA
ENA	HBWO01000563.1	3	NA	NA	NA	NA
ENA	HBWO01000564.1	3	NA	NA	NA	NA
ENA	HBWO01000573.1	1	NA	NA	NA	NA
ENA	HBWO01000576.1	8	NA	NA	NA	NA
ENA	HBWO01000616.1	4316	NA	NA	NA	NA
ENA	HBWO01000616.1	3620	NA	NA	NA	NA
ENA	HBWO01000616.1	2772	NA	NA	NA	NA
ENA	HBWO01000616.1	1603	NA	NA	NA	NA
ENA	HBWO01000616.1	2163	NA	NA	NA	NA
ENA	HBWO01000616.1	3729	NA	NA	NA	NA
ENA	HBWO01000616.1	2825	NA	NA	NA	NA
ENA	HBWO01000616.1	4220	NA	NA	NA	NA
ENA	HBWO01000616.1	1503	NA	NA	NA	NA
ENA	HBWO01000616.1	3141	NA	NA	NA	NA
ENA	HBWO01000616.1	2844	NA	NA	NA	NA
ENA	HBWO01000616.1	3435	NA	NA	NA	NA
ENA	HBWO01000616.1	3727	NA	NA	NA	NA
ENA	HBWO01000616.1	1964	NA	NA	NA	NA
ENA	HBWO01000616.1	2552	NA	NA	NA	NA
ENA	HBWO01000616.1	2258	NA	NA	NA	NA
ENA	HBWO01000616.1	3139	NA	NA	NA	NA
ENA	HBWO01000616.1	2244	NA	NA	NA	NA
ENA	HBWO01000616.1	1667	NA	NA	NA	NA
ENA	HBWO01000616.1	1612	NA	NA	NA	NA
ENA	HBWO01000616.1	1405	NA	NA	NA	NA
ENA	HBWO01000616.1	1614	NA	NA	NA	NA
ENA	HBWO01000616.1	2159	NA	NA	NA	NA
ENA	HBWO01000616.1	1897	NA	NA	NA	NA
ENA	HBWO01000616.1	2736	NA	NA	NA	NA
ENA	HBWO01000616.1	1507	NA	NA	NA	NA
ENA	HBWO01000618.1	4307	NA	NA	NA	NA
ENA	HBWO01000618.1	4241	NA	NA	NA	NA
ENA	HBWO01000619.1	502	NA	NA	NA	NA
ENA	HBWO01000623.1	462	NA	NA	NA	NA
ENA	HBWO01000624.1	608	NA	NA	NA	NA
ENA	HBWO01000625.1	578	NA	NA	NA	NA
ENA	HBWO01000638.1	1030	NA	NA	NA	NA
ENA	HBWO01000639.1	65	NA	NA	NA	NA
ENA	HBWO01000640.1	34	NA	NA	NA	NA
ENA	HBWO01000656.1	17	NA	NA	NA	NA
ENA	HBWO01000674.1	1	NA	NA	NA	NA
ENA	HBWO01000676.1	1	NA	NA	NA	NA
ENA	HBWO01000677.1	1	NA	NA	NA	NA
ENA	HBWO01000693.1	262	NA	NA	NA	NA
ENA	HBWO01000695.1	466	NA	NA	NA	NA
ENA	HBWO01000696.1	262	NA	NA	NA	NA
ENA	HBWO01000722.1	3	NA	NA	NA	NA
ENA	HBWO01000778.1	36	NA	NA	NA	NA
ENA	HBWO01000783.1	1	NA	NA	NA	NA
ENA	HBWO01000802.1	1	NA	NA	NA	NA
ENA	HBWO01000803.1	1	NA	NA	NA	NA
ENA	HBWO01000812.1	1	NA	NA	NA	NA
ENA	HBWO01000817.1	1	NA	NA	NA	NA
ENA	HBWO01000818.1	1	NA	NA	NA	NA
ENA	HBWO01000840.1	1086	NA	NA	NA	NA
ENA	HBWO01000841.1	1086	NA	NA	NA	NA
ENA	HBWO01000842.1	342	NA	NA	NA	NA
ENA	HBWO01000843.1	1	NA	NA	NA	NA
ENA	HBWO01000846.1	1	NA	NA	NA	NA
ENA	HBWO01000877.1	17	NA	NA	NA	NA
ENA	HBWO01000878.1	17	NA	NA	NA	NA
ENA	HBWO01000879.1	44	NA	NA	NA	NA
ENA	HBWO01000913.1	9790	NA	NA	NA	NA
ENA	HBWO01000913.1	11974	NA	NA	NA	NA
ENA	HBWO01000914.1	11974	NA	NA	NA	NA
ENA	HBWO01000914.1	10903	NA	NA	NA	NA
ENA	HBWO01000916.1	16	NA	NA	NA	NA
ENA	HBWO01000919.1	36	NA	NA	NA	NA
ENA	HBWO01000920.1	16	NA	NA	NA	NA
ENA	HBWO01000945.1	15	NA	NA	NA	NA
ENA	HBWO01000946.1	14	NA	NA	NA	NA
ENA	HBWO01000948.1	15	NA	NA	NA	NA
ENA	HBWO01000949.1	15	NA	NA	NA	NA
ENA	HBWO01000950.1	14	NA	NA	NA	NA
ENA	HBWO01000951.1	14	NA	NA	NA	NA
ENA	HBWO01000952.1	14	NA	NA	NA	NA
ENA	HBWO01000953.1	14	NA	NA	NA	NA
ENA	HBWO01000954.1	15	NA	NA	NA	NA
ENA	HBWO01000955.1	14	NA	NA	NA	NA
ENA	HBWO01000956.1	14	NA	NA	NA	NA
ENA	HBWO01000963.1	13	NA	NA	NA	NA
ENA	HBWO01000964.1	13	NA	NA	NA	NA
ENA	HBWO01000965.1	14	NA	NA	NA	NA
ENA	HBWO01000974.1	194	NA	NA	NA	NA
ENA	HBWO01000975.1	48	NA	NA	NA	NA
ENA	HBWO01000976.1	48	NA	NA	NA	NA
ENA	HBWO01000977.1	194	NA	NA	NA	NA
ENA	HBWO01000978.1	48	NA	NA	NA	NA
ENA	HBWO01000981.1	1	NA	NA	NA	NA
ENA	HBWO01000982.1	1	NA	NA	NA	NA
ENA	HBWO01000992.1	61	NA	NA	NA	NA
ENA	HBWO01000993.1	61	NA	NA	NA	NA
ENA	HBWO01001050.1	213	NA	NA	NA	NA
ENA	HBWO01001052.1	213	NA	NA	NA	NA
ENA	HBWO01001053.1	190	NA	NA	NA	NA
ENA	HBWO01001054.1	373	NA	NA	NA	NA
ENA	HBWO01001059.1	918	NA	NA	NA	NA
ENA	HBWO01001061.1	918	NA	NA	NA	NA
ENA	HBWO01001062.1	723	NA	NA	NA	NA
ENA	HBWO01001063.1	723	NA	NA	NA	NA
ENA	HBWO01001064.1	723	NA	NA	NA	NA
ENA	HBWO01001065.1	918	NA	NA	NA	NA
ENA	HBWO01001066.1	918	NA	NA	NA	NA
ENA	HBWO01001068.1	918	NA	NA	NA	NA
ENA	HBWO01001069.1	723	NA	NA	NA	NA
ENA	HBWO01001070.1	723	NA	NA	NA	NA
ENA	HBWO01001108.1	3	NA	NA	NA	NA
ENA	HBWO01001143.1	13	NA	NA	NA	NA
ENA	HBWO01001146.1	23	NA	NA	NA	NA
ENA	HBWO01001148.1	23	NA	NA	NA	NA
ENA	HBWO01001172.1	1	NA	NA	NA	NA
ENA	HBWO01001175.1	98	NA	NA	NA	NA
ENA	HBWO01001176.1	98	NA	NA	NA	NA
ENA	HBWO01001178.1	1	NA	NA	NA	NA
ENA	HBWO01001181.1	4	NA	NA	NA	NA
ENA	HBWO01001182.1	4	NA	NA	NA	NA
ENA	HBWO01001191.1	3	NA	NA	NA	NA
ENA	HBWO01001192.1	3	NA	NA	NA	NA
ENA	HBWO01001193.1	97	NA	NA	NA	NA
ENA	HBWO01001214.1	15	NA	NA	NA	NA
ENA	HBWO01001214.1	587	NA	NA	NA	NA
ENA	HBWO01001215.1	443	NA	NA	NA	NA
ENA	HBWO01001216.1	531	NA	NA	NA	NA
ENA	HBWO01001218.1	15	NA	NA	NA	NA
ENA	HBWO01001218.1	587	NA	NA	NA	NA
ENA	HBWO01001219.1	6	NA	NA	NA	NA
ENA	HBWO01001220.1	15	NA	NA	NA	NA
ENA	HBWO01001220.1	587	NA	NA	NA	NA
ENA	HBWO01001221.1	304	NA	NA	NA	NA
ENA	HBWO01001247.1	3	NA	NA	NA	NA
ENA	HBWO01001251.1	1	NA	NA	NA	NA
ENA	HBWO01001252.1	1	NA	NA	NA	NA
ENA	HBWO01001253.1	1	NA	NA	NA	NA
ENA	HBWO01001266.1	400	NA	NA	NA	NA
ENA	HBWO01001270.1	3	NA	NA	NA	NA
ENA	HBWO01001288.1	5	NA	NA	NA	NA
ENA	HBWO01001289.1	5	NA	NA	NA	NA
ENA	HBWO01001290.1	5	NA	NA	NA	NA
ENA	HBWO01001294.1	893	NA	NA	NA	NA
ENA	HBWO01001295.1	1	NA	NA	NA	NA
ENA	HBWO01001296.1	1	NA	NA	NA	NA
ENA	HBWO01001297.1	1	NA	NA	NA	NA
ENA	HBWO01001298.1	843	NA	NA	NA	NA
ENA	HBWO01001307.1	2701	NA	NA	NA	NA
ENA	HBWO01001310.1	62	NA	NA	NA	NA
ENA	HBWO01001311.1	62	NA	NA	NA	NA
ENA	HBWO01001312.1	62	NA	NA	NA	NA
ENA	HBWO01001319.1	536	NA	NA	NA	NA
ENA	HBWO01001319.1	209	NA	NA	NA	NA
ENA	HBWO01001320.1	496	NA	NA	NA	NA
ENA	HBWO01001320.1	148	NA	NA	NA	NA
ENA	HBWO01001321.1	536	NA	NA	NA	NA
ENA	HBWO01001321.1	209	NA	NA	NA	NA
ENA	HBWO01001322.1	148	NA	NA	NA	NA
ENA	HBWO01001323.1	496	NA	NA	NA	NA
ENA	HBWO01001323.1	148	NA	NA	NA	NA
ENA	HBWO01001328.1	671	NA	NA	NA	NA
ENA	HBWO01001329.1	671	NA	NA	NA	NA
ENA	HBWO01001330.1	671	NA	NA	NA	NA
ENA	HBWO01001367.1	344	NA	NA	NA	NA
ENA	HBWO01001368.1	344	NA	NA	NA	NA
ENA	HBWO01001370.1	1	NA	NA	NA	NA
ENA	HBWO01001375.1	1	NA	NA	NA	NA
ENA	HBWO01001379.1	40	NA	NA	NA	NA
ENA	HBWO01001382.1	2	NA	NA	NA	NA
ENA	HBWO01001389.1	4	NA	NA	NA	NA
ENA	HBWO01001401.1	7	NA	NA	NA	NA
ENA	HBWO01001405.1	266	NA	NA	NA	NA
ENA	HBWO01001406.1	266	NA	NA	NA	NA
ENA	HBWO01001430.1	58	NA	NA	NA	NA
ENA	HBWO01001434.1	184	NA	NA	NA	NA
ENA	HBWO01001435.1	20	NA	NA	NA	NA
ENA	HBWO01001437.1	240	NA	NA	NA	NA
ENA	HBWO01001438.1	338	NA	NA	NA	NA
ENA	HBWO01001438.1	240	NA	NA	NA	NA
ENA	HBWO01001448.1	3	NA	NA	NA	NA
ENA	HBWO01001449.1	263	NA	NA	NA	NA
ENA	HBWO01001449.1	3	NA	NA	NA	NA
ENA	HBWO01001450.1	263	NA	NA	NA	NA
ENA	HBWO01001450.1	3	NA	NA	NA	NA
ENA	HBWO01001456.1	67	NA	NA	NA	NA
ENA	HBWO01001457.1	67	NA	NA	NA	NA
ENA	HBWO01001458.1	111	NA	NA	NA	NA
ENA	HBWO01001459.1	67	NA	NA	NA	NA
ENA	HBWO01001469.1	1	NA	NA	NA	NA
ENA	HBWO01001470.1	1	NA	NA	NA	NA
ENA	HBWO01001472.1	51	NA	NA	NA	NA
ENA	HBWO01001473.1	51	NA	NA	NA	NA
ENA	HBWO01001474.1	19	NA	NA	NA	NA
ENA	HBWO01001497.1	14	NA	NA	NA	NA
ENA	HBWO01001498.1	14	NA	NA	NA	NA
ENA	HBWO01001499.1	14	NA	NA	NA	NA
ENA	HBWO01001500.1	14	NA	NA	NA	NA
ENA	HBWO01001501.1	14	NA	NA	NA	NA
ENA	HBWO01001502.1	14	NA	NA	NA	NA
ENA	HBWO01001504.1	12	NA	NA	NA	NA
ENA	HBWO01001504.1	10	NA	NA	NA	NA
ENA	HBWO01001504.1	6	NA	NA	NA	NA
ENA	HBWO01001504.1	380	NA	NA	NA	NA
ENA	HBWO01001505.1	12	NA	NA	NA	NA
ENA	HBWO01001505.1	10	NA	NA	NA	NA
ENA	HBWO01001505.1	6	NA	NA	NA	NA
ENA	HBWO01001505.1	380	NA	NA	NA	NA
ENA	HBWO01001507.1	12	NA	NA	NA	NA
ENA	HBWO01001507.1	10	NA	NA	NA	NA
ENA	HBWO01001507.1	6	NA	NA	NA	NA
ENA	HBWO01001507.1	380	NA	NA	NA	NA
ENA	HBWO01001508.1	12	NA	NA	NA	NA
ENA	HBWO01001508.1	10	NA	NA	NA	NA
ENA	HBWO01001508.1	6	NA	NA	NA	NA
ENA	HBWO01001508.1	380	NA	NA	NA	NA
ENA	HBWO01001534.1	88	NA	NA	NA	NA
ENA	HBWO01001535.1	88	NA	NA	NA	NA
ENA	HBWO01001536.1	88	NA	NA	NA	NA
ENA	HBWO01001537.1	88	NA	NA	NA	NA
ENA	HBWO01001543.1	1	NA	NA	NA	NA
ENA	HBWO01001544.1	105	NA	NA	NA	NA
ENA	HBWO01001545.1	226	NA	NA	NA	NA
ENA	HBWO01001563.1	62	NA	NA	NA	NA
ENA	HBWO01001564.1	62	NA	NA	NA	NA
ENA	HBWO01001565.1	1	NA	NA	NA	NA
ENA	HBWO01001574.1	222	NA	NA	NA	NA
ENA	HBWO01001577.1	222	NA	NA	NA	NA
ENA	HBWO01001583.1	4	NA	NA	NA	NA
ENA	HBWO01001587.1	9	NA	NA	NA	NA
ENA	HBWO01001588.1	9	NA	NA	NA	NA
ENA	HBWO01001603.1	4572	NA	NA	NA	NA
ENA	HBWO01001603.1	4522	NA	NA	NA	NA
ENA	HBWO01001604.1	4576	NA	NA	NA	NA
ENA	HBWO01001604.1	4523	NA	NA	NA	NA
ENA	HBWO01001605.1	4576	NA	NA	NA	NA
ENA	HBWO01001605.1	4523	NA	NA	NA	NA
ENA	HBWO01001608.1	5414	NA	NA	NA	NA
ENA	HBWO01001609.1	4572	NA	NA	NA	NA
ENA	HBWO01001609.1	4522	NA	NA	NA	NA
ENA	HBWO01001635.1	1	NA	NA	NA	NA
ENA	HBWO01001646.1	338	NA	NA	NA	NA
ENA	HBWO01001647.1	338	NA	NA	NA	NA
ENA	HBWO01001654.1	338	NA	NA	NA	NA
ENA	HBWO01001655.1	340	NA	NA	NA	NA
ENA	HBWO01001656.1	338	NA	NA	NA	NA
ENA	HBWO01001678.1	109	NA	NA	NA	NA
ENA	HBWO01001684.1	1	NA	NA	NA	NA
ENA	HBWO01001718.1	106	NA	NA	NA	NA
ENA	HBWO01001719.1	23	NA	NA	NA	NA
ENA	HBWO01001720.1	256	NA	NA	NA	NA
ENA	HBWO01001723.1	37	NA	NA	NA	NA
ENA	HBWO01001724.1	37	NA	NA	NA	NA
ENA	HBWO01001726.1	4	NA	NA	NA	NA
ENA	HBWO01001740.1	1	NA	NA	NA	NA
ENA	HBWO01001741.1	1548	NA	NA	NA	NA
ENA	HBWO01001742.1	4	NA	NA	NA	NA
ENA	HBWO01001743.1	14	NA	NA	NA	NA
ENA	HBWO01001757.1	2076	NA	NA	NA	NA
ENA	HBWO01001776.1	1	NA	NA	NA	NA
ENA	HBWO01001779.1	441	NA	NA	NA	NA
ENA	HBWO01001798.1	18	NA	NA	NA	NA
ENA	HBWO01001802.1	288	NA	NA	NA	NA
ENA	HBWO01001816.1	400	NA	NA	NA	NA
ENA	HBWO01001822.1	1	NA	NA	NA	NA
ENA	HBWO01001825.1	1	NA	NA	NA	NA
ENA	HBWO01001890.1	1165	NA	NA	NA	NA
ENA	HBWO01001891.1	871	NA	NA	NA	NA
ENA	HBWO01001902.1	10	NA	NA	NA	NA
ENA	HBWO01001902.1	1008	NA	NA	NA	NA
ENA	HBWO01001904.1	10	NA	NA	NA	NA
ENA	HBWO01001904.1	1008	NA	NA	NA	NA
ENA	HBWO01001945.1	117	NA	NA	NA	NA
ENA	HBWO01001945.1	201	NA	NA	NA	NA
ENA	HBWO01001945.1	173	NA	NA	NA	NA
ENA	HBWO01001945.1	145	NA	NA	NA	NA
ENA	HBWO01001945.1	257	NA	NA	NA	NA
ENA	HBWO01001945.1	63	NA	NA	NA	NA
ENA	HBWO01001945.1	285	NA	NA	NA	NA
ENA	HBWO01001945.1	48	NA	NA	NA	NA
ENA	HBWO01001945.1	313	NA	NA	NA	NA
ENA	HBWO01001946.1	513	NA	NA	NA	NA
ENA	HBWO01001946.1	402	NA	NA	NA	NA
ENA	HBWO01001946.1	458	NA	NA	NA	NA
ENA	HBWO01001946.1	429	NA	NA	NA	NA
ENA	HBWO01001946.1	485	NA	NA	NA	NA
ENA	HBWO01001946.1	542	NA	NA	NA	NA
ENA	HBWO01001946.1	373	NA	NA	NA	NA
ENA	HBWO01001946.1	568	NA	NA	NA	NA
ENA	HBWO01001946.1	345	NA	NA	NA	NA
ENA	HBWO01001946.1	597	NA	NA	NA	NA
ENA	HBWO01001946.1	324	NA	NA	NA	NA
ENA	HBWO01001946.1	654	NA	NA	NA	NA
ENA	HBWO01001946.1	625	NA	NA	NA	NA
ENA	HBWO01001949.1	371	NA	NA	NA	NA
ENA	HBWO01001949.1	291	NA	NA	NA	NA
ENA	HBWO01001949.1	427	NA	NA	NA	NA
ENA	HBWO01001949.1	375	NA	NA	NA	NA
ENA	HBWO01001949.1	595	NA	NA	NA	NA
ENA	HBWO01001949.1	515	NA	NA	NA	NA
ENA	HBWO01001949.1	679	NA	NA	NA	NA
ENA	HBWO01001949.1	629	NA	NA	NA	NA
ENA	HBWO01001952.1	371	NA	NA	NA	NA
ENA	HBWO01001952.1	291	NA	NA	NA	NA
ENA	HBWO01001952.1	427	NA	NA	NA	NA
ENA	HBWO01001952.1	375	NA	NA	NA	NA
ENA	HBWO01001952.1	679	NA	NA	NA	NA
ENA	HBWO01001952.1	629	NA	NA	NA	NA
ENA	HBWO01001952.1	315	NA	NA	NA	NA
ENA	HBWO01001952.1	266	NA	NA	NA	NA
ENA	HBWO01001952.1	511	NA	NA	NA	NA
ENA	HBWO01001952.1	459	NA	NA	NA	NA
ENA	HBWO01001952.1	651	NA	NA	NA	NA
ENA	HBWO01001952.1	599	NA	NA	NA	NA
ENA	HBWO01001952.1	707	NA	NA	NA	NA
ENA	HBWO01001952.1	655	NA	NA	NA	NA
ENA	HBWO01001952.1	260	NA	NA	NA	NA
ENA	HBWO01001961.1	1	NA	NA	NA	NA
ENA	HBWO01001962.1	1	NA	NA	NA	NA
ENA	HBWO01001963.1	1	NA	NA	NA	NA
ENA	HBWO01001963.1	733	NA	NA	NA	NA
ENA	HBWO01001964.1	538	NA	NA	NA	NA
ENA	HBWO01001970.1	1	NA	NA	NA	NA
ENA	HBWO01001971.1	1	NA	NA	NA	NA
ENA	HBWO01002006.1	30	NA	NA	NA	NA
ENA	HBWO01002016.1	436	NA	NA	NA	NA
ENA	HBWO01002017.1	45	NA	NA	NA	NA
ENA	HBWO01002017.1	981	NA	NA	NA	NA
ENA	HBWO01002017.1	2380	NA	NA	NA	NA
ENA	HBWO01002017.1	2493	NA	NA	NA	NA
ENA	HBWO01002017.1	2827	NA	NA	NA	NA
ENA	HBWO01002017.1	2091	NA	NA	NA	NA
ENA	HBWO01002017.1	1784	NA	NA	NA	NA
ENA	HBWO01002017.1	2226	NA	NA	NA	NA
ENA	HBWO01002017.1	2711	NA	NA	NA	NA
ENA	HBWO01002017.1	1842	NA	NA	NA	NA
ENA	HBWO01002017.1	2672	NA	NA	NA	NA
ENA	HBWO01002017.1	3172	NA	NA	NA	NA
ENA	HBWO01002017.1	1925	NA	NA	NA	NA
ENA	HBWO01002017.1	2943	NA	NA	NA	NA
ENA	HBWO01002018.1	180	NA	NA	NA	NA
ENA	HBWO01002019.1	981	NA	NA	NA	NA
ENA	HBWO01002019.1	1788	NA	NA	NA	NA
ENA	HBWO01002019.1	2095	NA	NA	NA	NA
ENA	HBWO01002019.1	2384	NA	NA	NA	NA
ENA	HBWO01002019.1	2230	NA	NA	NA	NA
ENA	HBWO01002019.1	1846	NA	NA	NA	NA
ENA	HBWO01002019.1	2772	NA	NA	NA	NA
ENA	HBWO01002019.1	2714	NA	NA	NA	NA
ENA	HBWO01002019.1	644	NA	NA	NA	NA
ENA	HBWO01002019.1	1929	NA	NA	NA	NA
ENA	HBWO01002019.1	2946	NA	NA	NA	NA
ENA	HBWO01002019.1	2555	NA	NA	NA	NA
ENA	HBWO01002019.1	3175	NA	NA	NA	NA
ENA	HBWO01002019.1	3237	NA	NA	NA	NA
ENA	HBWO01002020.1	1	NA	NA	NA	NA
ENA	HBWO01002021.1	1	NA	NA	NA	NA
ENA	HBWO01002022.1	2968	NA	NA	NA	NA
ENA	HBWO01002022.1	2397	NA	NA	NA	NA
ENA	HBWO01002022.1	2513	NA	NA	NA	NA
ENA	HBWO01002022.1	1806	NA	NA	NA	NA
ENA	HBWO01002022.1	1978	NA	NA	NA	NA
ENA	HBWO01002022.1	1928	NA	NA	NA	NA
ENA	HBWO01002022.1	1927	NA	NA	NA	NA
ENA	HBWO01002022.1	2572	NA	NA	NA	NA
ENA	HBWO01002022.1	1802	NA	NA	NA	NA
ENA	HBWO01002022.1	1652	NA	NA	NA	NA
ENA	HBWO01002022.1	1705	NA	NA	NA	NA
ENA	HBWO01002022.1	1651	NA	NA	NA	NA
ENA	HBWO01002022.1	1650	NA	NA	NA	NA
ENA	HBWO01002023.1	1802	NA	NA	NA	NA
ENA	HBWO01002023.1	1651	NA	NA	NA	NA
ENA	HBWO01002023.1	1645	NA	NA	NA	NA
ENA	HBWO01002023.1	1916	NA	NA	NA	NA
ENA	HBWO01002023.1	2210	NA	NA	NA	NA
ENA	HBWO01002023.1	1650	NA	NA	NA	NA
ENA	HBWO01002023.1	1621	NA	NA	NA	NA
ENA	HBWO01002023.1	2967	NA	NA	NA	NA
ENA	HBWO01002024.1	1802	NA	NA	NA	NA
ENA	HBWO01002024.1	1651	NA	NA	NA	NA
ENA	HBWO01002024.1	1645	NA	NA	NA	NA
ENA	HBWO01002024.1	1916	NA	NA	NA	NA
